state,x,y
Видин,-333.0, 161.0
Монтана, -294.0, 109.0
Враца, -218.0, 95.0
Плевен, -133.0, 109.0
Ловеч, -141.0, 39.0
Велико Търново, -26.0, 70.0
Габрово, -46.0, 23.0
Търговище, 81.0, 69.0
Разград, 111.0, 125.0
Бургас, 192.0, -33.0
Варна, 244.0, 63.0
Шумен, 160.0, 83.0
Силистра, 156.0, 187.0
София Област, -209.0, -11.0
Перник, -341.0, -13.0
Кюстендил, -333.0, -81.0
Благоевград, -264.0, -162.0
Пазарджик, -173.0, -101.0
Пловдив, -103.0, -63.0
Стара Загора, -22.0, -50.0
Сливен, 74.0, -6.0
Ямбол, 106.0, -63.0
Хасково,30.0,  -130.0
Кърджали, -10.0, -191.0
Смолян, -124.0, -167.0
Русе, 27.0, 137.0
Добрич, 271.0, 136.0
София Град, -255.0, -11.0